#    time               <x>               <y>             var_x             var_y             var_r            <mv_x>            <mv_y>           var_mvx           var_mvy            var_mv                        E                     E-E0              <Px>            var_Px            var_Py             var_P               err
24.849998  -9.589303052e-01  -2.830334163e-01   3.491395157e-01   3.028253574e-01   6.519648731e-01  -2.830334163e-01   9.587087032e-01   5.799511705e-01   3.262813899e-01   9.062325604e-01   9.5273151831120639e-01   3.5949021537362569e-13  -7.216954997e-15   3.018983425e-01   3.262813899e-01   6.281797324e-01   1.252331572e-13
24.881414  -9.673461354e-01  -2.527800434e-01   3.393443119e-01   3.026025216e-01   6.419468335e-01  -2.527800434e-01   9.671227514e-01   5.848277772e-01   3.214109341e-01   9.062387113e-01   9.5273151831118674e-01   3.3983926783776042e-13  -7.226453674e-15   3.018983425e-01   3.214109341e-01   6.233092766e-01   1.261213356e-13
24.912830  -9.748076904e-01  -2.222773015e-01   3.306473882e-01   3.024351328e-01   6.330825211e-01  -2.222773015e-01   9.745827215e-01   5.891838877e-01   3.170603336e-01   9.062442212e-01   9.5273151831119562e-01   3.4872105203476167e-13  -7.241141260e-15   3.018983425e-01   3.170603336e-01   6.189586760e-01   1.090239010e-13
24.944246  -9.813076094e-01  -1.915552820e-01   3.230702062e-01   3.023104686e-01   6.253806747e-01  -1.915552820e-01   9.810812566e-01   5.930023278e-01   3.132467371e-01   9.062490648e-01   9.5273151831120961e-01   3.6270986214503864e-13  -7.312925826e-15   3.018983425e-01   3.132467371e-01   6.151450795e-01   1.119104809e-13
24.975662  -9.868394801e-01  -1.606442922e-01   3.166315325e-01   3.022173550e-01   6.188488875e-01  -1.606442922e-01   9.866119477e-01   5.962680436e-01   3.099851760e-01   9.062532196e-01   9.5273151831118275e-01   3.3584246494910985e-13  -7.376014426e-15   3.018983425e-01   3.099851760e-01   6.118835184e-01   1.367794766e-13
25.007078  -9.913978453e-01  -1.295748263e-01   3.113473761e-01   3.021462228e-01   6.134935989e-01  -1.295748263e-01   9.911693403e-01   5.989681607e-01   3.072885055e-01   9.062566662e-01   9.5273151831119263e-01   3.4572344986827375e-13  -7.411978368e-15   3.018983425e-01   3.072885055e-01   6.091868480e-01   1.179056852e-13
25.038493  -9.949782083e-01  -9.837753424e-02   3.072309345e-01   3.020891541e-01   6.093200887e-01  -9.837753424e-02   9.947489401e-01   6.010920345e-01   3.051673540e-01   9.062593885e-01   9.5273151831119052e-01   3.4361402612148595e-13  -7.442250861e-15   3.018983425e-01   3.051673540e-01   6.070656965e-01   1.108002579e-13
25.069909  -9.975770369e-01  -6.708319239e-02   3.042925492e-01   3.020399224e-01   6.063324716e-01  -6.708319239e-02   9.973472168e-01   6.026312924e-01   3.036300815e-01   9.062613739e-01   9.5273151831122083e-01   3.7392311469375272e-13  -7.458198218e-15   3.018983425e-01   3.036300815e-01   6.055284240e-01   1.214583989e-13
25.101325  -9.991917674e-01  -3.572267267e-02   3.025396705e-01   3.019940227e-01   6.045336933e-01  -3.572267267e-02   9.989616081e-01   6.035798668e-01   3.026827464e-01   9.062626132e-01   9.5273151831120562e-01   3.5871305925638808e-13  -7.487161368e-15   3.018983425e-01   3.026827464e-01   6.045810889e-01   1.398881011e-13
25.132741  -9.998208068e-01  -4.326912314e-03   3.019768330e-01   3.019486943e-01   6.039255273e-01  -4.326912314e-03   9.995905218e-01   6.039340185e-01   3.023290823e-01   9.062631008e-01   9.5273151831121339e-01   3.6648462042876417e-13  -7.522406905e-15   3.018983425e-01   3.023290823e-01   6.042274247e-01   1.041389197e-13
25.164157  -9.994635347e-01   2.707311672e-02   3.026056390e-01   3.019029345e-01   6.045085735e-01   2.707311672e-02   9.992333379e-01   6.036923518e-01   3.025704825e-01   9.062628343e-01   9.5273151831121949e-01   3.7259084706420253e-13  -7.531262092e-15   3.018983425e-01   3.025704825e-01   6.044688250e-01   1.219024881e-13
25.195573  -9.981203034e-01   5.844643824e-02   3.044247538e-01   3.018575036e-01   6.062822574e-01   5.844643824e-02   9.978904085e-01   6.028558198e-01   3.034059955e-01   9.062618153e-01   9.5273151831119474e-01   3.4783287361506154e-13  -7.530248015e-15   3.018983425e-01   3.034059955e-01   6.053043380e-01   1.352251644e-13
25.226989  -9.957924380e-01   8.976210241e-02   3.074299092e-01   3.018149213e-01   6.092448304e-01   8.976210241e-02   9.955630581e-01   6.014277207e-01   3.048323281e-01   9.062600488e-01   9.5273151831121783e-01   3.7092551252726480e-13  -7.530270134e-15   3.018983425e-01   3.048323281e-01   6.067306706e-01   1.254552018e-13
25.258405  -9.924822351e-01   1.209892163e-01   3.116139178e-01   3.017794545e-01   6.133933723e-01   1.209892163e-01   9.922535821e-01   5.994136850e-01   3.068438584e-01   9.062575434e-01   9.5273151831120717e-01   3.6026737149086330e-13  -7.523922634e-15   3.018983425e-01   3.068438584e-01   6.087422008e-01   1.376676551e-13
25.289821  -9.881929600e-01   1.520969741e-01   3.169666964e-01   3.017570968e-01   6.187237932e-01   1.520969741e-01   9.879652442e-01   5.968216529e-01   3.094326580e-01   9.062543108e-01   9.5273151831119995e-01   3.5305092183079978e-13  -7.493580505e-15   3.018983425e-01   3.094326580e-01   6.113310005e-01   1.234568003e-13
